Year,Region,Site,Period,Fish,Shrimp,Crayfish,Odonata,Hemiptera,Coleoptera,Gastropoda,Diptera
2016,PHD,A62,3,-0.1888,0.0331,0,0.2568,-0.2359,-0.0256,0.0856,0.0306
2016,PHD,A62,4,-0.0699,-0.244,0,0.2041,-0.4043,-0.0549,0.569,0
2019,PHD,A62,1,0.0294,0.0216,0,0.6333,-0.6784,-0.0588,0.0196,0
2022,TSL,TS,4,-0.4259,-0.2197,0,0.5433,-0.0335,-0.0147,0.1506,0
2023,PHD,A62,3,-0.2381,-0.0586,0.0357,0.6037,-0.2339,-0.1179,0.016,-0.0069
2023,TSL,TS,3,-0.3236,-0.2798,0.0435,0.4087,-0.0732,0.0369,0.1006,0.0435
2023,WCA 3A,2,3,-0.4054,-0.2158,0.1472,-0.0667,-0.0023,0.0416,-0.0207,0.3481
2023,WCA 3A,2,4,-0.2919,-0.2899,0.2816,0.3934,-0.0414,-0.0062,-0.0166,-0.0166
2024,PHD,A62,1,-0.1015,-3e-04,-0.0019,0.4002,-0.0258,-0.0058,-0.3953,0.0435
2024,TSL,TS,1,-0.2417,-0.3697,0.0154,0.5051,-0.0621,-0.0216,0.1803,-0.0025
2024,WCA 3A,2,2,-0.0495,-0.5112,0.3364,0.1689,-0.0281,0.0323,-0.0433,0
2024,WCA 3A,3,3,0.0423,0,0.3782,0.084,-0.3711,-0.1435,-0.0082,0.0087
